观测时间,四川攀枝花,重庆朱沱,湖北宜昌,湖南岳阳,江西九江,安徽安庆,江苏南京
2004-04,3690,13800,21000,25600,28100,29500,29800
2004-05,3720,13100,19800,20500,29800,34000,34500
2004-06,4010,14200,20300,22600,29500,32100,33100
2004-07,4660,16400,22700,24100,27000,31900,32100
2004-08,3740,10600,24000,25900,32100,33400,35100
2004-09,6280,47600,53500,53800,72800,74200,81000
2004-10,3260,16200,19100,22300,24800,31000,38400
2004-11,1500,8170,10600,12000,14600,17000,19600
2004-12,951,6550,7400,10700,13200,14100,14900
2005-01,712,4020,4570,8190,10900,12300,14400
2005-02,612,3603,4510,7980,10300,13700,15100
2005-03,623,4740,5180,7040,14300,21400,21500
2005-04,642,3650,5400,7240,15100,20200,22100

