,观测时间,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7
0,2004-04,湖南岳阳,安徽安庆,江西九江,重庆朱沱,湖北宜昌,江苏南京,四川攀枝花
1,2004-05,安徽安庆,江西九江,湖南岳阳,江苏南京,湖北宜昌,重庆朱沱,四川攀枝花
2,2004-06,湖南岳阳,湖北宜昌,江西九江,江苏南京,安徽安庆,重庆朱沱,四川攀枝花
3,2004-07,湖南岳阳,湖北宜昌,江西九江,江苏南京,安徽安庆,重庆朱沱,四川攀枝花
4,2004-08,湖南岳阳,湖北宜昌,江西九江,安徽安庆,江苏南京,四川攀枝花,重庆朱沱
5,2004-09,湖南岳阳,重庆朱沱,江苏南京,湖北宜昌,江西九江,安徽安庆,四川攀枝花
6,2004-10,湖南岳阳,江苏南京,湖北宜昌,安徽安庆,江西九江,重庆朱沱,四川攀枝花
7,2004-11,安徽安庆,江苏南京,江西九江,湖南岳阳,湖北宜昌,重庆朱沱,四川攀枝花
8,2004-12,湖南岳阳,江西九江,江苏南京,安徽安庆,湖北宜昌,重庆朱沱,四川攀枝花
9,2005-01,湖南岳阳,江苏南京,安徽安庆,江西九江,湖北宜昌,重庆朱沱,四川攀枝花
10,2005-02,安徽安庆,江苏南京,江西九江,湖南岳阳,湖北宜昌,重庆朱沱,四川攀枝花
11,2005-03,安徽安庆,江苏南京,湖南岳阳,江西九江,湖北宜昌,重庆朱沱,四川攀枝花
12,2005-04,安徽安庆,江苏南京,江西九江,湖南岳阳,湖北宜昌,重庆朱沱,四川攀枝花
